,Country,Capital,Population,Area,2020,2021,2022,2023,2024,2025,2026,2027,Average Score
74,Kiribati,Tarawa,92533,811.0,182,207,216,233,246,257,268,280,53.84615384615385
14,Bahrain,Manama,738004,665.0,34723,38869,44169,45421,47067,48958,51068,53407,53.808714684791056
8,Aruba,Oranjestad,71566,193.0,2497,3023,3229,3395,3529,3632,3732,3834,53.54425310372447
106,Nepal,Kathmandu,28951852,140800.0,33982,34520,36315,39028,42103,45265,48593,52171,53.52539579777529
71,Kenya,Nairobi,40046566,582650.0,101279,109797,114679,119127,126700,135963,145877,155155,53.195627918917054
86,Morocco,Rabat,31627428,446550.0,114724,131465,133062,142967,150466,158654,166757,175359,52.85293399811722
10,Barbados,Bridgetown,285653,431.0,4677,4871,5530,5926,6234,6522,6806,7083,51.4432328415651
97,Mexico,Mexico City,112468855,1972550.0,1087117,1294829,1322740,1379727,1444727,1509065,1576361,1646318,51.43889756116407
47,Grenada,St. George's,107818,344.0,1043,1115,1192,1275,1350,1425,1502,1579,51.3902205177373
49,Ghana,Accra,24339838,239460.0,68498,76359,73894,78893,83994,89370,94751,103536,51.15185844842185
110,Peru,Lima,29907003,1285220.0,205233,224725,240346,257960,270060,282035,294960,308592,50.361783923638015
75,Comoros,Moroni,773407,2170.0,1218,1295,1310,1386,1473,1577,1690,1807,48.35796387520526
0,Andorra,Andorra la Vella,84000,468.0,2885,3330,3400,3580,3755,3913,4072,4225,46.447140381282495
52,Greece,Athens,11000000,131940.0,188684,216384,222770,234808,246349,256972,267074,275323,45.91751287867546
6,Austria,Vienna,8205000,83858.0,432912,477400,479815,518808,550551,578061,605395,630527,45.647845289573866
69,Jordan,Amman,6407085,92300.0,43759,45354,47745,50461,53427,56567,59893,63414,44.916474325281655
34,Denmark,Copenhagen,5484000,43094.0,356085,395710,399100,419266,441065,463782,487103,511054,43.52022691211368
12,Belgium,Brussels,10403000,30510.0,521445,599989,609887,639716,667661,694257,720983,746317,43.12477826041097
41,Spain,Madrid,46505963,504782.0,1280459,1426224,1435560,1519090,1610624,1686371,1757756,1824654,42.499994142725384
146,Uruguay,Montevideo,3477000,176220.0,53561,59368,64283,66988,69350,71803,74010,76258,42.37598252459812
26,Switzerland,Bern,7581000,41290.0,751743,812552,841969,888199,939246,976194,1025110,1064141,41.55648938533515
115,Portugal,Lisbon,10676000,92391.0,228356,250053,251915,267241,282765,296989,310160,322686,41.30830808036575
139,Tonga,Nuku'alofa,122580,748.0,494,501,528,574,614,643,669,696,40.89068825910931
32,Germany,Berlin,81802257,357021.0,3843335,4225924,4256540,4564778,4786673,4985445,5177005,5361149,39.49210776578154
104,Netherlands,Amsterdam,16645000,41526.0,913134,1018684,1013595,1072789,1127174,1176644,1224711,1270575,39.14441911044819
37,Ecuador,Quito,14790608,283560.0,99291,106166,115462,120246,124517,128723,133071,137566,38.54830750017625
135,Thailand,Bangkok,67089500,514000.0,500293,513165,522012,556372,599876,632448,667124,692599,38.43867493648722
45,France,Paris,64768389,547030.0,2621961,2935488,2936702,3086226,3227510,3366286,3495885,3621133,38.107813197831696
68,Jamaica,Kingston,2847232,10991.0,13967,15141,15721,16208,16835,17724,18480,19255,37.860671583017115
150,Vanuatu,Port Vila,221552,12200.0,994,950,1015,1071,1141,1219,1292,1368,37.62575452716298
151,Samoa,Apia,192001,2944.0,807,788,816,868,923,981,1037,1093,35.43990086741016
43,Finland,Helsinki,5244000,337030.0,271619,298868,297617,314502,328360,340810,354494,367233,35.20151388525839
67,Italy,Rome,60340328,301230.0,1891057,2101276,2058330,2169384,2273319,2367159,2454912,2527369,33.64848336142168
124,Sudan,Khartoum,35000000,1861484.0,34381,35151,31460,33195,35627,38758,42044,45383,32.00023268665833
131,Suriname,Paramaribo,492829,163270.0,2884,2854,2988,3119,3242,3384,3575,3782,31.137309292649096
116,Palau,Melekeok,19907,458.0,258,215,244,296,306,316,327,338,31.007751937984494
107,Nauru,Yaren,10065,21.0,114,133,134,138,142,144,146,149,30.701754385964914
96,Malawi,Lilongwe,15447500,118480.0,11847,12176,12042,11325,12003,12896,13836,14835,25.221575082299317
70,Japan,Tokyo,127288000,377835.0,5040108,4937422,4912147,5291351,5527694,5820001,6063315,6259824,24.200195710091926
121,Russia,Moscow,140702000,17100000.0,1483379,1775548,1829050,1713154,1718194,1742194,1766044,1795503,21.04141962371046
78,Laos,Vientiane,6368162,236800.0,18524,18552,17347,17996,18715,19656,20855,22157,19.612394731159576
136,Tajikistan,Dushanbe,7487489,143100.0,8134,8474,7820,7699,8041,8422,8826,9251,13.732480944184902
23,Belarus,Minsk,9685000,207600.0,61312,68208,59394,60188,62866,64824,66496,68362,11.49856471816284
138,Tunisia,Tunis,10589025,163610.0,42502,46479,45642,None,None,None,None,None,-100.0
144,Ukraine,Kiev,45415596,603700.0,155300,198316,None,None,None,None,None,None,-100.0
132,Syria,Damascus,22198110,185180.0,60043,None,None,None,None,None,None,None,-100.0
1,Afghanistan,Kabul,29121286,647500.0,20136,None,None,None,None,None,None,None,-100.0
148,Venezuela,Caracas,27223228,912050.0,47255,46501,49086,49823,None,None,None,None,-100.0
79,Lebanon,Beirut,4125247,10400.0,27320,None,None,None,None,None,None,None,-100.0
112,Pakistan,Islamabad,184404791,803940.0,299296,347743,None,None,None,None,None,None,-100.0
